status,power,parkingfield,timestamp,geo_point_2d,totalparkings,location,addresse
OCCUPIED    ,22 kW   ,1           ,2019-11-12T06:05:51+00:00,"{'lat': 47.5468788, 'lon': 7.5837529}",1            ,        ,"IWB, Margarethenstrasse 40"
AVAILABLE   ,50 kW   ,2           ,2019-11-12T05:43:12+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,2           ,2019-11-12T06:35:26+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,50/22 kW,1           ,2019-11-12T06:39:58+00:00,"{'lat': 47.5549797, 'lon': 7.6126351}",2            ,        ,Zürcherstrasse 140
AVAILABLE   ,22 kW   ,2           ,2019-11-12T05:55:18+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
OCCUPIED    ,22 kW   ,1           ,2019-11-12T05:55:38+00:00,"{'lat': 47.5510555, 'lon': 7.5683475}",2            ,        ,General Guisan-Strasse 46
AVAILABLE   ,50 kW   ,1           ,2019-11-12T05:51:12+00:00,"{'lat': 47.5571633, 'lon': 7.5703527}",2            ,        ,Allschwilerplatz 12
AVAILABLE   ,22 kW   ,1           ,2019-11-12T05:51:46+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,22 kW   ,1           ,2019-11-12T06:08:54+00:00,"{'lat': 47.5365589, 'lon': 7.5973156}",2            ,        ,Thiersteinerrain 70 / Im Sesselacker 1
AVAILABLE   ,22 kW   ,1           ,2019-11-12T05:51:05+00:00,"{'lat': 47.5517447, 'lon': 7.6098455}",2            ,        ,Gellertstrasse 34
AVAILABLE   ,50/22 kW,2           ,2019-11-12T06:12:51+00:00,"{'lat': 47.5453508, 'lon': 7.5908071}",2            ,        ,"Heizwerk Bahnhof, Solothurnerstrasse 18"
OCCUPIED    ,50/22 kW,1           ,2019-11-12T06:12:27+00:00,"{'lat': 47.5699144, 'lon': 7.5738776}",2            ,        ,Vogesenstrasse 143
AVAILABLE   ,22 kW   ,2           ,2019-11-12T06:22:59+00:00,"{'lat': 47.5506255, 'lon': 7.5874945}",2            ,2. UG   ,"Parkhaus Elisabethen, Steinentorberg 5"
AVAILABLE   ,22 kW   ,1           ,2019-11-12T06:41:14+00:00,"{'lat': 47.5482996, 'lon': 7.5997219}",2            ,        ,Sevogelstrasse 113/115
OCCUPIED    ,22 kW   ,1           ,2019-11-12T06:14:12+00:00,"{'lat': 47.5665095, 'lon': 7.5726328}",2            ,        ,Flughafenstrasse 4
